Judul,Saluran,ID Video,Deskripsi,Jumlah Pencarian
"KUNTILANAK DI ATAS LEMARI &amp; POCONG MELAYANG ! 10 PENAMPAKAN HANTU TERJELAS, TERSERAM DAN MENGERIKAN",SATPAM HOROR,SN9Zllkew3Q,DILEMESIN DAN NIKMATI VIDEONYA !! Kalian ada Foto/video Penampakan Hantu ? kirim Di sini : Satpamhoror@gmail.com ...,21112
"Ciri ciri hantu, Tuyul curi uang😳 #Shorts #hantu",Si Bocil - Bocah Cilik,s2CLXJ6LC2Y,,18892
HANTU GENDUT YANG AKAN MAKAN MANUSIA⁉️😱 | Esterviona #shorts #storytelling #alurfilm #viral,Esterviona,ToLR-Dlw-jI,,137186
Ada Pocong Mau Ganggu Kerja! Inilah 10 Penampakan Hantu dan Kejadian Aneh yang Bikin Merinding!,Calon Sarjana,6VTwwnmvKb8,Kali ini kita akan menjelajahi beberapa rekaman misterius dan menakutkan yang mungkin saja menunjukkan bukti adanya setan.,40699
kuntilanak ketawa,MZchannel,nsiBdW37hN0,https://youtube.com/shorts/nsiBdW37hN0.,3349524
HANTU CANTIK BANGET!#shorts #shortsvideo,Ato Adja,pHrPErLhK2w,,492623
Penakut Disarankan Jangan Nonton!! 6 Penampakan Hantu dan Kejadian Menakutkan Bikin Merinding,Kisah Kehidupan,mup-q8bvs-o,"SUBSCRIBE JUGA: https://youtube.com/c/kisahseramhantu Jika kalian memiliki pengalaman horor, foto penampakan atau video ...",50113
Kuntilanak Duduk di Sofa..! 6 Penampakan Hantu Menyeramkan yang Benar-benar Membuat Merinding,Kisah Kehidupan,xJ6MUIYZ43E,"SUBSCRIBE JUGA: https://youtube.com/c/kisahseramhantu Jika kalian memiliki pengalaman horor, foto penampakan atau video ...",129817
Hantu Takut Hantu - Animasi Horor - Kartun Hantu Lucu - WargaNet Life,Warganet Life Official,9JFBlIBJ-Hs,"Saat ada hantu baru yang mendatangi komplek, pocong tidak mau menerimanya. Subscribe dan jangan lupa bagikan video ini ...",516689
HANTU BOCIL DI TOILET ?! | Klara Tania #shorts,Klara Tania,fMKlKwKXX_0,,3741049
Hantu Kepala di Tangga..! 6 Penampakan Hantu dan Kejadian Aneh Sebaiknya ditonton Sendirian,Kisah Kehidupan,4kd6i_ORW68,"SUBSCRIBE JUGA: https://youtube.com/c/kisahseramhantu Jika kalian memiliki pengalaman horor, foto penampakan atau video ...",641335
"POCONG BIKIN TAKUT WARGA AKHIRNYA KETANGKAP ! 10 PENAMPAKAN HANTU TERJELAS, TERSERAM DAN MENGERIKAN",SATPAM HOROR,Cq4y9nq28SU,DILEMESIN DAN NIKMATI VIDEONYA !! Kalian ada Foto/video Penampakan Hantu ? kirim Di sini : Satpamhoror@gmail.com ...,73043
Emak Lawan Hantu ❗️,Nak Appan,8q3eJCUdy3I,,664338
PERHATIKAN!! Kejadian ini berhasil direkam saat live - 5 Kejadian menakutkan dan penampakan seram,MEDIA HOROR,yuEUso_pf9U,Jangan lupa subscribe channel @Mediahoror Nah itulah 5 Video penampakan hantu dan rekaman menyeramkan yang beredar ...,455685
